top - 22:54:16 up  2:47,  1 user,  load average: 2.07, 1.25, 1.02
Tasks: 336 total,   2 running, 333 sleeping,   0 stopped,   1 zombie
%Cpu(s): 10.5 us, 15.8 sy,  0.0 ni, 68.4 id,  5.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.9 total,    516.3 free,   2422.0 used,    728.1 buff/cache     
MiB Swap:   3714.0 total,   2245.9 free,   1468.1 used.   1445.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    318 root      20   0       0      0      0 S   0.0   0.0   0:02.79 jbd2/sd+
    319 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    367 root      19  -1   51516  12604  11904 S   0.0   0.3   0:01.00 systemd+
    438 root      20   0   32408   6140   4592 S   0.0   0.2   0:00.57 systemd+
    487 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    490 systemd+  20   0   17572   5516   5364 S   0.0   0.1   0:01.63 systemd+
    501 systemd+  20   0   22228   7432   6388 S   0.0   0.2   0:01.71 systemd+
    507 systemd+  20   0   91060   5736   5612 S   0.0   0.1   0:00.15 systemd+
    643 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    644 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    645 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    649 root     -51   0       0      0      0 S   0.0   0.0   0:07.87 irq/16-+
    650 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    689 avahi     20   0    8680   3944   3776 S   0.0   0.1   0:00.17 avahi-d+
    690 message+  20   0   12316   6900   4536 S   0.0   0.2   0:01.14 dbus-da+
    693 gnome-r+  20   0  512820   8344   8296 S   0.0   0.2   0:00.10 gnome-r+
    701 polkitd   20   0  390984  11044   7748 S   0.0   0.3   0:00.77 polkitd
    704 root      20   0  313384   6784   6560 S   0.0   0.2   0:00.04 power-p+
    721 root      20   0  313300   7112   6688 S   0.0   0.2   0:00.40 account+
    725 root      20   0    9432   2720   2568 S   0.0   0.1   0:00.06 cron
    728 root      20   0  309880   6640   6264 S   0.0   0.2   0:00.10 switche+
    734 root      20   0   18156   6256   5948 S   0.0   0.2   0:00.28 systemd+
    737 root      20   0  543208   9276   8120 S   0.0   0.2   0:00.41 udisksd
    753 syslog    20   0  222572   4400   3892 S   0.0   0.1   0:00.19 rsyslogd
    771 avahi     20   0    8488   1056   1032 S   0.0   0.0   0:00.00 avahi-d+
    779 root      20   0  336416  16472  15320 S   0.0   0.4   0:01.02 Network+
    780 root      20   0   17392   4052   3992 S   0.0   0.1   0:00.10 wpa_sup+
    840 root      20   0  392100   7280   7280 S   0.0   0.2   0:00.13 ModemMa+
   1202 root      20   0  112260   5976   5752 S   0.0   0.2   0:00.08 unatten+
   1225 root      20   0  314828   7340   6932 S   0.0   0.2   0:00.07 gdm3
   1229 kernoops  20   0   12752   1980   1868 S   0.0   0.0   0:00.01 kernelo+
   1242 kernoops  20   0   12752   1964   1860 S   0.0   0.0   0:00.01 kernelo+
   1301 rtkit     21   1   88484   3276   3124 S   0.0   0.1   0:00.24 rtkit-d+
   1410 colord    20   0  320152  10192   7468 S   0.0   0.3   0:00.11 colord
   1456 root      20   0  316576   7516   6960 S   0.0   0.2   0:00.07 upowerd
   1784 root      20   0  390056   8524   8192 S   0.0   0.2   0:00.14 gdm-ses+
   1800 gv237     20   0   21672   8476   6832 S   0.0   0.2   0:01.76 systemd
   1802 gv237     20   0   21476   1620   1620 S   0.0   0.0   0:00.00 (sd-pam)
   1815 gv237     20   0  185368  10864   7508 S   0.0   0.3   0:19.51 pipewire
   1817 gv237     20   0   97744   4240   4192 S   0.0   0.1   0:00.00 pipewire
   1822 gv237     20   0  406820  12048   9892 S   0.0   0.3   0:01.05 wireplu+
   1825 gv237     20   0  125524  12252   8980 S   0.0   0.3   0:01.50 pipewir+
   1830 gv237     20   0   11040   5844   4432 S   0.0   0.1   0:01.05 dbus-da+
   1832 gv237     20   0  316516   7356   6912 S   0.0   0.2   0:00.09 gnome-k+
   1865 gv237     20   0  610300   6664   6264 S   0.0   0.2   0:00.08 xdg-doc+
   1873 gv237     20   0  309316   5692   5548 S   0.0   0.1   0:00.02 xdg-per+
   1880 root      20   0    2712   1944   1944 S   0.0   0.0   0:00.00 fusermo+
   1899 gv237     20   0  235676   5768   5596 S   0.0   0.1   0:00.00 gdm-way+
   1906 gv237     20   0  298244   8240   8236 S   0.0   0.2   0:00.02 gnome-s+
   1949 gv237     20   0  162660   5688   5648 S   0.0   0.1   0:00.00 gcr-ssh+
   1951 gv237     20   0   91556   5256   5072 S   0.0   0.1   0:00.00 gnome-s+
   1974 gv237     20   0  314288   6764   6428 S   0.0   0.2   0:00.04 gvfsd
   1984 gv237     20   0  459716   6060   6020 S   0.0   0.2   0:00.01 gvfsd-f+
   2023 gv237     20   0  733496   9320   8772 S   0.0   0.2   0:00.13 gnome-s+
   2050 gv237     20   0 3960020 115992  61144 S   0.0   2.9   5:50.47 gnome-s+
   2051 gv237     20   0  382940   6936   6636 S   0.0   0.2   0:00.01 at-spi-+
   2064 gv237     20   0    9488   4628   4264 S   0.0   0.1   0:00.01 dbus-da+
   2187 gv237     20   0  236076   6220   6040 S   0.0   0.2   0:00.02 at-spi2+
   2206 gv237     20   0  655936   6708   6708 S   0.0   0.2   0:00.10 gnome-s+
   2222 gv237     20   0 1275380   9424   9116 S   0.0   0.2   0:00.33 evoluti+
